Claude 사용 환경 비교표,,,,
,,,,
1. 기본 비교,,,,
구분,웹 (claude.ai),데스크톱 앱,터미널 (CLI),VSCode 채팅창
주요 용도,일반 대화/문서 작성,일반 대화 + 파일 작업,코딩 전문,코딩 전문 (IDE 통합)
대상 사용자,모든 사용자,모든 사용자,개발자,개발자
설치 필요,X (브라우저),O,O,O (확장 프로그램)
인증 방식,계정 로그인,계정 로그인,API 키 또는 계정 로그인,API 키 또는 계정 로그인
요금,Free/Pro/Team,Free/Pro/Team,API 사용량 또는 Pro/Max 포함,API 사용량 또는 Pro/Max 포함
파일 수정 가능,X,제한적,O (직접 수정),O (직접 수정)
코드 실행,O (Artifacts),O,O (터미널 직접),O (터미널 직접)
Git 작업,X,X,O,O
,,,,
2. 세션 및 메모리,,,,
구분,웹,데스크톱 앱,터미널 (CLI),VSCode 채팅창
대화 기록 저장,클라우드,클라우드,로컬 (.claude/),VSCode 저장소
세션 이어가기,O (자동),O (자동),/resume 명령,X (새 세션)
프로젝트별 설정,X,X,CLAUDE.md,CLAUDE.md
메모리 사용량,1.2~2GB,180~400MB,낮음,중간
시작 속도,10~12초,3초,즉시,즉시
,,,,
3. 슬래시 명령어,,,,
명령어,설명,터미널,VSCode,
/init,프로젝트 초기화 및 CLAUDE.md 자동 생성,O,O,
/help,사용 가능한 모든 명령어 표시,O,O,
/clear,대화 기록 삭제 (토큰 절약),O,O,
/compact,대화 요약해서 컨텍스트 줄이기,O,O,
/memory,CLAUDE.md 파일 열어서 편집,O,△,
/model,AI 모델 변경 (Sonnet/Opus/Haiku),O,O,
/config,설정 화면 열기,O,△,
/context,현재 토큰 사용량 확인,O,△,
/usage,비용 및 사용량 확인,O,△,
/terminal-setup,터미널 단축키 설정,O,X,
/resume,이전 세션 이어가기,O,X,
/rewind,코드/대화 되돌리기,O,X,
,,,,
4. 키보드 단축키 (터미널 CLI),,,,
단축키,기능,,,
Ctrl+C,현재 작업 취소,,,
Ctrl+D,Claude Code 종료,,,
Ctrl+R,명령어 히스토리 검색,,,
Ctrl+L,화면 지우기 (대화는 유지),,,
Esc + Esc,되감기 - 이전 메시지로 되돌아가 분기 생성,,,
Tab,확장 사고 모드 (Extended Thinking) 토글,,,
Shift+Tab,Plan 모드 전환 (읽기 전용 분석),,,
Shift+Enter,줄바꿈 (메시지 보내지 않고),,,
↑ / ↓,이전/다음 명령어 탐색,,,
,,,,
5. 고급 기능,,,,
기능,웹,데스크톱,터미널,VSCode
MCP 서버 연결,X,O,O,O
커스텀 명령어,X,X,O,O
Hooks (자동화),X,X,O,O
Connectors (앱 연동),X,O,X,X
파일 Diff 시각화,X,X,텍스트,GUI
Plan 모드,X,X,O,O
다중 창/탭,O,O,X,O
글로벌 단축키,X,O,X,X
,,,,
6. 사용 시나리오별 추천,,,,
상황,추천 환경,,,
일반 질문/글쓰기/번역,웹 또는 데스크톱,,,
파일 첨부해서 분석,데스크톱,,,
코드 작성/수정/디버깅,터미널 또는 VSCode,,,
터미널 작업 선호/파워유저,터미널 CLI,,,
IDE 통합/시각적 Diff 선호,VSCode 채팅창,,,
여러 기기에서 접속,웹,,,
,,,,
△ = 일부 지원 또는 제한적,,,,
